;review_text;sentiment;price;service;food
993;i would certainly reach out to the team at sold on charlotte again;;;;
994;kind regards,;;;;
995;john d;;;;
996;i really enjoyed coming here it located near walnut st which meant parking was difficult;;;;
997;what i didn't realized was that hot pots where individualized;;;;
998;they gave a pot over an electric hot plate which you can adjust the temp;;;;
999;they also have hot water on the side in case you run out;;;;
1000;very fulfilling for $15;;;;
1001;it's a small area and they also have a section for you to customize your own sauces;;;;
1002;ok so i have purchased items from rc wiley and have spent a lot of money but will never again;;;;
1003;i had a $500 credit limit after i purchased my fridge and when  iwent to use it towards ny bed room purchase it was no longer available due to me paying it off too soon????? (apparently since i paid $500 in 2months instead of $25 in 10 months) when we attempted to question what they meant and if there was anything that couldbe done the supervisor emele pretty much told us to take a flying leap -are you serious!!  so i spent my $2300 at ashley furniture;;;;
1004;rc wiley apparently is balling and they don't need me to buy anything;;;;
1005;good luck! when u have poor customer service reps representing you like that their making your company look bad;;;;
1006;let me start by saying that i love aveda which is why i decided to try this salon;;;;
1007;and it was a big mistake;;;;
1008;i explained what i wanted to the stylist and even showed two photos;;;;
1009;it's easy to get this cut wrong since it's short hair so i also showed a photo of what exactly i did not want;;;;
1010;she asked what i didn't like about the photo and i explained it (it's a section in the back and she acted like she understood);;;;
1011;the cut finishes she spins me around and it is literally exactly what i showed her that i didn't want;;;;
1012;i was mortified and now trying to grow this hideous cut out;;;;
1013;nothing is blended and she butchered my hair;;;;
1014;and to make matters worse she wasn't even friendly! heading to a different salon today to try and get it fixed;;;;
1015;place took forever;;;;
1016;come to find out that they didn't have my oil filter and a hour and a half into me waiting the napa parts guy pulls up and 10 mins later it was done;;;;
1017;hmmm;;;;
1018;but they didn't even let me know what was going on! never going back;;;;
1019;cutest little dive bar in the city! chill vibe cheap (and yummy) drinks delicious food and family owned;;;;
1020;laura was an excellent bartender and made us feel right at home;;;;
1021;bonus points because it looks like a cute little house! a must-see if you're in the area;;;;
1022;really happy to have such a unique place like this in phoenix;;;;
1023;the tea was tasty and the interior is very well laid out;;;;
1024;will definitely come back!;;;;
1025;these darn northerners really know how to make some goooood eggplant;;;;
1026;i am obsessed like seriously obsessed with their eggplant minced pork dish;;;;
1027;it sounds so simple but never have i had it this good;;;;
1028;everything else on the menu is decent the dumplings xlb noodles etc;;;;
1029;but the eggplant is to die for! go for the authentic side of the menu avoid the americanized dishes;;;;
1030;the few times i ordered from here i was greatly disappointed;;;;
1031;freezer burned strawberry ice cream microwaved food and run of the mill breakfast;;;;
1032;we have had a wonderful experience with dr;;;;
1033;beals treating our son;;;;
1034;he's been seeing him for about 8 months now and are very satisfied with the care he receives here;;;;
1035;beals is very helpful we never feel rushed to get out of his office and he's patient in answering our questions;;;;
1036;one of the things i most appreciate is that i've never felt like his solution is to throw a bunch of meds at my son;;;;
1037;he's conservative and has started on low doses moving up only when we were comfortable;;;;
1038;my son loves coming to the appointments and playing with all the minecraft toys in his office!;;;;
1039;just ok;;;;
1040;not a fun true busy dim sum place and i'm so sure they don't make their own food;;;;
1041;won't be back soon;;;;
1042;i've been coming to loco on mill since they opened;;;;
1043;i love coming here especially on sundays for football;;;;
1044;they have all the games on great bloodys and awesome breakfast!  loco is my local watering hole and i always have a great time with the staff;;;;
1045;ordered combo 3;;;;
1046;it comes with two plates or rice (or bread) one skewer of chicken breast kebob one skewer of koobideh one skewer of barg kebob 3 grilled tomatoes a plate of parsley and sliced radish a bunch of basil;;;;
1047;no salad;;;;
1048;the meat were all very flavourful not dry and juicy!!! the taste was very good;;;;
1049;definitely a lot of food for two people;;;;
1050;the waitress was very friendly and attentive;;;;
1051;i read another review that they do not accept amex and yeah they really don't;;;;
1052;but i asked before i paid for the meal so it's ok;;;;
1053;rebel doesn't take credit cards and charges you to use debit;;;;
1054;not very convenient for people going to the lake;;;;
1055;we will just fill up elsewhere;;;;
1056;the place is filthy too;;;;
1057;the decor and everything int he restaurant is really nice and sheik looking;;;;
1058;we got the resting panda and the whiskey sour both of which were very tasting drinks;;;;
1059;we started with the foo foo plater (just to be able to try a bit of everything);;;;
1060;it was pretty good actually i'd highly recommend it! our server (i believe her name was nicky) was super awesome and really nice and helpful;;;;
1061;she decided on getting the pork belly ramen and two sushi rolls;;;;
1062;the ramen was good a little salty but i'd recommend it;;;;
1063;then we received the spider roll which was great;;;;
1064;next up was the crispy roll which was where the problems arose;;;;
1065;we had to wait over 45 minutes for one roll;;;;
1066;after about half an hour they finally brought us a different roll to apologize for it taking so long;;;;
1067;apparently they didn't have the crispy rice prepped so that was what was taking so long;;;;
1068;i myself am a server and although the server came over and apologized several times it probably would have been a good idea to have the manager come and apologize;;;;
1069;we finally got it and it was okay and they ended up comping it which was nice;;;;
1070;i'd give this place one more try;;;;
1071;but i most limey wouldn't order the crispy rice roll again;;;;
1072;hey;;;;
1073;i just want to say everytime i eat here since the late 90's;;;;
1074;nothing but good wings good beer and good times;;;;
1075;if the waiting staff is terrible slow non attentive so be it;;;;
1076;i eventually get my food and beer im busy either catching up with friends or pull out the cell phone and chat with friends;;;;
1077;weird but there it is;;;;
1078;have fun here;;;;
1079;cheers!;;;;
1080;while the prices are a bit high for a make-your-own pizza the taste makes up for it;;;;
1081;i love going to seventh street market sitting not just coffee and having a drink while waiting for delicious fresh made pizza from pure;;;;
1082;i've taken this to go as well as eaten inside the market and i can say that the pizza doesn't do well reheated;;;;
1083;so try to eat it fresh while there if possible;;;;
1084;if one of their specialty pizzas sounds good to you go for it as those are definitely a better deal for the amount of toppings you get for the money;;;;
1085;i wanted what i wanted though so i ended up with a medium thin crust regular crust pizza with jalapenos pepperoncini onions and feta;;;;
1086;it was pretty expensive at $2/topping = $20 med pizza;;;;
1087;but it was delicious;;;;
1088;the arugula salad with goat cheese and lemon vinaigrette is to-die-for;;;;
1089;i crave that dressing days later;;;;
1090;so light and fresh but flavorful;;;;
1091;visited this restaurant after a 3 hour drive to get to it;;;;
1092;we my boyfriend and i  saw their ad on their website for an $$85 per couple valentine's day dinner;;;;
1093;we had reservations for 6p;;;;
1094;this reservation was made on friday we dined on saturday;;;;
1095;when we arrived right at 6p;;;;
1096;there were plenty of open tables in the restaurant;;;;
1097;when the hostess looked for our name on the reservation list it showed we were to be sat at table 14;;;;
1098;the list said in large print at the top;;;;
1099;do not change tables;;;;
1100;the hostess walked us past 8 - 10 2 person tables to sit us at a 2 person table literally 6inches from the neighboring table!  could we have asked to sit elsewhere? apparently not as the hostess was under direct orders not to change tables;;;;
1101;could we have dined elsewhere;;;;
1102;probably not considering it is valentines weekend and we drove 3 hours to get there and have no reservations any where else and no idea at 6p;;;;
1103;where to go;;;;
1104;so we sat;;;;
1105;we could hear every word the table next to us said;;;;
1106;"(which by the way when you take your pregnant wife out for valentine's day you probably shouldn't answer the phone when your buddies call or talk about how ""hot"" her female coworker is";;;;
1107;)  this was so awkward you had to watch every word you said to be sure the neighboring diners weren't eavesdropping on personal info;;;;
1108;"most uncomfortable ""romantic"" evening of my life";;;;
1109;now to the food;;;;
1110;"the valentine's day meal was a choice of appetizer to share (except for one - they sold out the night before) a ""salad"" choice of any appetizer on the menu (again except for the new zealand rack of lamb because it too sold out the night before";;;;
1111;) a chocolate creme brulet to share for dessert and a bottle of nero d'avola (which we were told is a $35 bottle of wine);;;;
1112;we ordered two bowls of soup to go along with the special;;;;
1113;the soup - lobster bisque (delicious) and minestrone with sausage ( missing the sausage and the vegetable were literally giant sized;;;;
1114;it was like eating a salad with broth and rice in it);;;;
1115;however it did taste quite nice;;;;
1116;the appetizer - artichokes with prosciutto;;;;
1117;yummo!;;;;
1118;the salad - hmm not what i had in mind;;;;
1119;a tiny plate of feta cheese cucumber pear in balsamic vinegar and gosh knows what else;;;;
1120;but not a traditional salad;;;;
1121;so beware!  taste was great but if you are expecting a bowl of leafy greens and some toppings;;;;
1122;this it is not;;;;
1123;the meal - veal with shrimp and gnocchi;;;;
1124;quite pleasing to the palette;;;;
1125;the dessert - chocolate creme brulet;;;;
1126;umm not so much;;;;
1127;it was quite clearly 3/4 cup of chocolate mousse with a sliced strawberry on top and a store bought sugar cookie in the shape of a heart;;;;
1128;yes it did taste good however;;;;
1129;where was the creme brulet the waiter raved about?;;;;
1130;the wine - nero d'avola;;;;
1131;yes i am a red wine drinker the wine was delicious;;;;
1132;but upon looking it up when we returned to the hotel room;;;;
1133;found it only sold for $10 - $13 a bottle;;;;
1134;why the lie? we would have ordered the special anyway;;;;
1135;the atmosphere;;;;
1136;beautiful romantic (if you like sharing intimate moments with strangers) but it was pleasantly dark with candles and christmas lights through out;;;;
1137;they had an electric fireplace when we first sat down we observed and enjoyed the heat coming from it since as you know we dress up not dress warm when going out to dinner;;;;
1138;the place lost half of its power 5 minutes after sitting down;;;;
1139;the manager  chose to turn the fireplace off even though it stayed lit and running during the power outage;;;;
1140;by the time i left my toes were frozen;;;;
1141;we finished eating and paid for the bill at 7;;;;
1142;50p;;;;
1143;i turned around and noticed four empty 2 person tables;;;;
1144;they had never been sat but we had to sit with an unfamiliar couple!;;;;
1145;upon leaving the hostess who was so sweet and friendly upon arrival was short and sarcastic in her good bye and have a nice evening;;;;
1146;would i go back when in town again? no;;;;
1147;at the risk of being sat in that situation again;;;;
1148;the food can be the most delicious in the world but i still prefer and deserve privacy when dining;;;;
1149;and to the lady we sat next to;;;;
1150;good luck on your birth maybe your dislike for cheese will go away after you give birth;;;;
1151;not sure why some posted negative reviews of this place because it is on point;;;;
1152;my girlfriend and i had dinner there last night with reservations set for 6 p;;;;
1153;were seated by 6;;;;
1154;our server william was awesome was fast attentative and really was one of the best servers we've encountered and we dine out a lot;;;;
1155;we both ordered all you can eat crab legs and they were fresh hot and delicious;;;;
1156;i do feel the sticker price was high but we must have had 5 buckets each so it equates to 10 bucks a pound;;;;
1157;the only negative i did feel could be addressed is the tables are made of some type of epoxy resin so being outside may be melting or something because there was a sticky residue on the table top;;;;
1158;i just played a napkin over it so it was acceptable;;;;
1159;my girlfriend and i will definitely be returning to pickle bills we had a fantastic evening;;;;
1160;last thing to note the service was great even though the place was packed!;;;;
1161;after being a huge fan of the mission i decided to try this place out seeing that it's owned by the same owners even though i was very skeptical that it could possibly be as great;;;;
1162;to my surprise it lived up to what others had told me;;;;
1163;the ambiance was amazing;;;;
1164;very much like the mission;;;;
1165;candles light up the entire place;;;;
1166;the outside patio is quite large and there is a lot of seating available;;;;
1167;the staff was great and very helpful with making suggestions on the menu;;;;
1168;my favorite items on the menu are the scallops and the apple caramel upside down cake;;;;
1169;they were cooked to perfection and melt in your mouth;;;;
1170;they have a great wine list and its a perfect setting to enjoy a few glasses of wine;;;;
1171;) this is a great date night spot that i recommend it now to all my friends;;;;
1172;i've tried to shop at montblanc toronto several times but the selection is very limited and the sales staff while attentive not very friendly;;;;
1173;recently i tried to replace a ring i received as a gift and lost;;;;
1174;the toronto store was quick to identify the style number of the ring but said they no longer had stock and couldn't help me i asked them if they could check other locations with no avail;;;;
1175;because the ring had a lot of sentimental value i decided to call the  hong kong location where the ring was purchased;;;;
1176;over the phone the clerk jane and amazing representative knew the ring as well and again it was out of stock but she offered to check with head office in to see if any exist  at any location world wide;;;;
1177;she called me the next day from hong kong to inform me she found the last ring in london and it was now in transit to her store where she would hold it for me until i return to hong kong in a few months;;;;
1178;not wanting to risk the ring getting sold or lost i paid for it with my credit card over the phone and arranged for a friend to pick it up and send it by courier;;;;
1179;the ring now sits on my finger never to be removed again;;;;
1180;this is the type of service that builds loyalty;;;;
1181;the montblanc store in hong kong is located in pacific mall;;;;
1182;jane has since been promoted and transferred to their flagship store on kowloon side on canton road;;;;
1183;i'm not surprised of her promotion given the service she provided me;;;;
1184;i will be forever be loyal to the hong kong location;;;;
1185;thanks jane!  i'm giving 2 stars to the toronto location the hong kong location would easily have 5 stars;;;;
1186;trã¨s bon poulet avec la petite sauce piquante c'est succulent;;;;
1187;beaucoup trop de frite dans les assiettes;;;;
1188;il n'y a pratiquement pas de place dans l'ã©tablissement et il faut souvent faire la file pour commander;;;;
1189;mieux vaut prendre en take out;;;;
1190;jai pas goã»ter ã  la poutine mais ã§a va l'air intense;;;;
1191;j'ai eu envie de donner trois ã©toiles ã©tant donnã© la file et le peu de place  mais ã©tant donnã© qu'il s'agit d'une des meilleures rã´tisserie portugaise ( oublier l'infã¢me piri piri ) je lui en ai mis quatres;;;;
1192;best thai food ever! love the mango curry especially and everything;;;;
1193;they have great bubble tea too;;;;
1194;very nice service very polite;;;;
1195;we've shopped there for several years and always enjoyed the savings but this year i'm shopping for hoodies for the less fortunate;;;;
1196;thank you antigua;;;;
1197;what an awesome pool party!!! i wish there was a tad more interactive aspects;;;;
1198;i want hot girls and guys spraying champagne all over us or dancing with us;;;;
1199;i love this place! i have found the staff to be extremely knowledgable beyond helpful and always willing to go above and beyond to do whatever they can to assist you;;;;
1200;this store carries products that i can't find anywhere else besides online;;;;
1201;they are great about returns if you have a finicky eater (like mine);;;;
1202;i also love that they have no agenda when it comes to helping you select a certain food;;;;
1203;they listen to what you're looking for and then make suggestions based on the info you've given them;;;;
1204;they're also well versed in the latest pet food recalls (which are hard to stay on top of these days!);;;;
1205;if you sign up online they offer discounts and specials all the time which helps with some of the pricier food;;;;
1206;organized clean and a huge selection;;;;
1207;i have absolutely no complaints about this place;;;;
1208;except maybe that when they hold weekend pet adoptions i get depressed that i can't take all the animals home;;;;
1209;i just had a terrible experience with dr;;;;
1210;jennifer vonya-novak's front office;;;;
1211;i changed my primary care to dr;;;;
1212;novak;;;;
1213;it took me 3 weeks to get an appointment because she only does 4 new patients a day;;;;
1214;i waited the 3 weeks for what i was told was a 7;;;;
1215;45 am appt;;;;
1216;i got to her office at 7;;;;
1217;45 (actually 7;;;;
1218;47 am according to my cell phone);;;;
1219;the door was locked and the office hours posted were 8;;;;
1220;00- to 5;;;;
1221;i could see through the glass doors that there wasn't anyone at the desk area;;;;
1222;l left ,went home and called a 8 am no answer;;;;
1223;called again at 8;;;;
1224;10 and the lady said i missed my appointment and could not be seen today;;;;
1225;she argued that the door is always open at 7;;;;
1226;"she was unapologetic and offered me a next day appointment like she was doing me a favor since i ""missed"" my appointment";;;;
1227;"she kept calling me ""my dear"" as if i was incapable of knowing the appointment time";;;;
1228;i found her very condescending;;;;
1229;needless to say i will not be going to dr;;;;
1230;novak and will let my friends know the office procedures there and the unbendable and arrogant rules!;;;;
1231;i love pizza but i try to stay away for dietary reasons;;;;
1232;i went here last week with my daughter and mom and was pleasantly surprised;;;;
1233;thin crust new york style pizza at a good price;;;;
1234;the menu is kind of simple but that's the way these places are nowadays;;;;
1235;friendly staff and clean simple surroundings;;;;
1236;was very excited for happy hour and heard great things;;;;
1237;food was less then average we were charged $10 for bread;;;;
1238;most apps were greasy or fried and still spent $250 on happy hour menu for a group of 4;;;;
1239;first review on yelp so cared enough to take the time to write this;;;;
1240;sorry won't come back;;;;
1241;excellent shortbread;;;;
1242;koodos to ms;;;;
1243;mary and her oh so good chocolate crunch shortbread cookies;;;;
1244;my family and i came in on wed;;;;
1245;night for dinner we had a party of 6 plus a baby(using a high chair);;;;
1246;we had to wait about 10 mins to be seated and when we got to our table it was against the wall half booth half chairs;;;;
1247;"my husband asked to sit at another table but the hostess said ""no"" so we had the baby between our table and the customers next to us luckily she's a great baby!! the table and booth were dirty and floor was sticky gross and i had to kick a fork out from under my seat";;;;
1248;the service was subpar but the waiter was nice;;;;
1249;it took 20 mins for my boys to get their drinks and refills well they were sparse to say the least;;;;
1250;i ordered steamed broccoli which was actually raw when it came out the first time but they what i believe microwaved it to warm it up;;;;
1251;my poor daughter in law had a charcoal patty which she sent back and it took a good 25-30 mins to be replaced;;;;
1252;the worse part is my son has a sensitivity to gluten so he ordered a gluten free bun but they gave him a ciabatta bun which he didn't realize until he had already eaten half the burger;;;;
1253;my husband brought the issues up to the manager but she didn't really contribute anything to the situation other than sending the burnt burger back;;;;
1254;the waiter's solution for the inconvenience was a free appetizer card to be redeemed the next time they came in;;;;
1255;we live 3 1/2 hours from mesa and it's so disappointing to run into this kind of service this was definitely not a pleasant experience;;;;
1256;five stars! i highly recommend this place if you're in the mood for authentic latin american cuisine;;;;
1257;coming from someone raised in latin america i'm usually skeptical of restaurants that claim to have latin american food because although the dishes try to imitate latin american styles they usually come up short and completely miss the subtle flavors that make these dishes what they're supposed to be;;;;
1258;however chica completely nailed it;;;;
1259;the whole chicken with chimichurri is a must-have (we shared it among four people) and the small dishes were delicious as well;;;;
1260;the mini arepas that came with the guacamole were a really nice surprise and the empanadas were simply amazing and tasted just like the ones back home;;;;
1261;besides that the latin music was on point and the cocktails were great too!;;;;
1262;oooh momma!;;;;
1263;the flavor is strong with this one;;;;
1264;clean fast friendly everytime;;;;
1265;but not weird and sterile like baja fresh;;;;
1266;glad they're open again!;;;;
1267;lk is a great technician! he makes you feel relaxed and comfortable as well as being extremely attentive to your nails;;;;
1268;gosh;;;;
1269;i'm not going to write much except that it was delicious;;;;
1270;i came here because of all the reviews and seriously it was worth the drive;;;;
1271;i had the spring rolls and those were delicious;;;;
1272;then i had the noodle ye-saw with shrimp;;;;
1273;and i pretty much licked my plate;;;;
1274;and all the plates going by looked better and better;;;;
1275;i'm already planning the next time i come here;;;;
1276;and my server was a sweet sweet girl;;;;
1277;soft spoken but just the perfect server;;;;
1278;i'd take a picture of my food but i dove in and cleaned my plate;;;;
1279;lol;;;;
1280;oh well;;;;
1281;there are 254 pics for you to choose from;;;;
1282;fresh food tasty and amazing service are the 3 characteristics that come to my mind when thinking about this place;;;;
1283;however price is a big downside;;;;
1284;went there on a tuesday night did not have to wait for a table and service was quick and the staff was very friendly;;;;
1285;the menu options are pretty limited but definitely focused on providing the most typical portuguese experience;;;;
1286;one major downside;;;;
1287;the food portions are extremely small for the price you pay;;;;
1288;the value for money clearly isn't fair considering they are dishes tapas style;;;;
1289;in a regular restaurant you'd get real size dishes for the price you pay for tapas there;;;;
1290;2 mini starters 2 entrees (tapas style) shared + 1 desert with one glass of wine gave us a $90 bill and we left without feeling full;;;;
1291;the desert was a caramel fondant with pear ice cream probably the only thing we ate that was so incredible we would have paid twice the price for;;;;
1292;otherwise it was too pricy;;;;
1293;i will definitely go back once they revise their price!;;;;
1294;amazing!!! clean and pretty! best service i've been in las vegas! everyone are so nice! and all the design are perfect;;;;
1295;amazing place full of authentic decor and ambiance! papaya salad is so refreshing and full of flavor;;;;
1296;combination pad thai with pork beef and shrimp is enough for two meals;;;;
1297;thai toasts for an appetizer consists if minced chicken and shrimp baked on toast served with cucumber salad;;;;
1298;it us a must try!!;;;;
1299;i'm not that pleased with this experience;;;;
1300;for the price i expected better ambiance and better presentation;;;;
1301;the steaks were seasoned and cooked well;;;;
1302;our family enjoys a good cut that's perfectly done to each person's speculations;;;;
1303;also the service was perfect;;;;
1304;our server was thoughtful and attentive without overly interrupting when we didn't need anything;;;;
1305;however for the high price of everything (not just the steaks) on the menu we would've expected the place to feel more exclusive more fancy not so loud;;;;
1306;it felt like a nice bar rather than a fine dining establishment;;;;
1307;we had to shout over the noise and the place wasn't even totally full (sunday evening);;;;
1308;the plates were also nothing special to look at;;;;
1309;again because of the price we expected a few frills;;;;
1310;the meat and separate sides came out just plainly put onto plates;;;;
1311;no effort was put into the presentation;;;;
1312;even casual restaurants throw some greens or garnishes on the dish for a little extra aesthetic;;;;
1313;probably won't return;;;;
1314;if i'm paying this much i'd like to feel a little more pampered;;;;
1315;i work at wells fargo right next door to rubio's on 24th st and baseline and out main goal is too satisfy the customers using our vision and values;;;;
1316;that being said rubios is so relative because everyday i go to rubios for lunch they make me feel at home and like a valued customer by showing quality service and going over and beyond the standard for me! they don't sale chimichangas but the manager george and the great cooks took it upon themselves to fry my burrito for me! george is a great leader and represents that franchise at a high level! last but not least priscilla the shift leader lights up the whole room with her smile as soon as you are opening the door as well delivering excellent service! thanks rubios - da'quon  #yourbankteller;;;;
1317;wiki wiki is like the middle ground from your typical gas station auto wash and full service washes with the personal touch;;;;
1318;you start out by ordering your service at one of 3 electronic kiosks;;;;
1319;everything is touch screen;;;;
1320;they give you 4 choices but then they suggest additional upgrades to your wash;;;;
1321;you pay and then move on to the wash;;;;
1322;someone assists you in getting your car lined up in the track;;;;
1323;put your car in neutral and in a few minutes your car moves through the wash and you come out the other end;;;;
1324;when you come out you have the option of using one of several free vacuum which are powerful;;;;
1325;this is a great alternative to the full service places;;;;
1326;it's quicker and you don't have to wait for someone to towel dry your car;;;;
1327;please;;;;
1328;read this before you buy a session with her;;;;
1329;about a year ago i bought a groupon here and having a horrible experience i've never used groupon for services again;;;;
1330;you get what you pay for - and in this case less;;;;
1331;lesson learned;;;;
1332;she uses clumps of lashes that fall off within 12 hours;;;;
1333;your eyes will also be completely bloodshot from whatever glue she uses;;;;
1334;i let her know and even sent pictures of my eyes because they were so red and painful i thought they were infected;;;;
1335;"she blamed it on me and offered to ""fix"" them for more money";;;;
1336;i declined - there was no way i was letting her do any more damage;;;;
1337;i have had my lashes done before and since with professionals and have never had that happen;;;;
1338;i love the lash service at wishful winking and the spot in liberty village;;;;
1339;icing on the badlashes cake;;;;
1340;she was over an hour and a half late for my apt and claimed it was never booked;;;;
1341;even when i showed her the text she had sent me with the confirmation;;;;
1342;the whole time i was waiting my gut was yelling no and i should have listened;;;;
1343;just no;;;;
1344;we used creative bridal for our vegas wedding at mgm grand as part of our wedding package;;;;
1345;originally it was only to get my husband tuxedo for the wedding;;;;
1346;unfortunately my wedding dress from david's had an alteration issue and the back of my dress ripped when i was finally trying it on for the last time the day before the wedding;;;;
1347;since we were on our way to get a tux fitting for my husband he thought it would be best to ask them if they can help us fix it because i was in tears since the dress was ripped so bad that my butt was hanging out;;;;
1348;britney picked us up at mgm and brought us and during conversation she did say let's look at the dress and see what can be done;;;;
1349;kelly and brittany did just that they quickly placed me in my dress while taisha took my husband in to get his tux fitted;;;;
1350;all while making sure he didn't see me;;;;
1351;i'm so grateful for all three ladies! i highly recommend them! (sorry if i got anyone names wrong);;;;
1352;well they definitely lost me as a customer! rc willey here i come!;;;;
1353;my father who is 69 years old moved out here from los angeles the beginning of this month to be closer to me and my kids;;;;
1354;i ordered and fully paid for a bedroom set for him;;;;
1355;they called me like 4 days before the order was to be delivered to confirm the appointment;;;;
1356;i advised the lady that no one was living in my father's apartment yet but if they could call me as they are on their way i could rush down to the place and open the door for them;;;;
1357;i mean i live in the same complex so it wouldn't be a long wait! she said she would let the guys know but no promise;;;;
1358;okaaaaay? i paid $1,200 for furniture i am a repeat customer and you can't make one quick easy courtesy call? well i missed their delivery and no call was made;;;;
1359;i found out from my landlord that they came because they went to the office and he was going to let them in but they said no because someone had to sign the paper;;;;
1360;"to top it off when i got my dad's key to check the place out before he arrived there was a note on the counter that said ""sorry we missed you""";;;;
1361;so they entered the apartment and left the note but couldn't put the damn furniture together?? they denied going in but how the hell did the paper get on the counter? anyway my dad arrived with no furniture and we had to pay $50;;;;
1362;00 for them to deliver the furniture again 3 days later;;;;
1363;my father has bad arthritis and basically no cartilage in his knees making it very hard for him to get up from low areas such as couches and floors which he almost had to sleep on if it weren't for my friend who let us borrow her air mattress luckily;;;;
1364;he still couldn't get up though and crawled to get around his place until i was able to get to his place after work;;;;
1365;bottom line they are not for their customers at all and their attitude after you purchase their crap shows it all;;;;
1366;i will never be back;;;;
1367;i have been getting monthly massages here for the past five months;;;;
1368;a couple of the therapists are good and some lack experience;;;;
1369;as a stocking stuffer for my husband i scheduled an appointment for him to meet with roberta a very capable therapist;;;;
1370;when he arrived for his appointment his name did not show on the schedule;;;;
1371;yet the gentleman working the front desk clearly remembered scheduling that appointment with me;;;;
1372;he blamed it on glitchy new scheduling software;;;;
1373;i was extremely disappointed and embarrassed since it was a gift;;;;
1374;but what else could we do but reschedule? an appointment was set again with roberta through the same desk attendant for this afternoon;;;;
1375;when my husband arrived this afternoon he was placed with a different therapist who confessed that she did not know how to work with his specific shoulder issue;;;;
1376;so he again rescheduled;;;;
1377;this is getting ridiculous and i'm considering canceling my membership over it;;;;
1378;i've been here 2x wasn't impressed the first time figured give them a second try;;;;
1379;there latte doesn't impress me i'd rather goto the starbucks adjacent to this spot;;;;
1380;a toned down version of the king street location gotstyle is a great store primarily for the service you receive;;;;
1381;it's definitely not for everyone - there is a price tag attached;;;;
1382;but if you shop at places like holt renfrew or even the bay then this place is considerably better in my opinion;;;;
1383;the reason - the sales agents are just better;;;;
1384;they have pretty good sales twice a year which is when i tend to go but sizing is obviously an issue at those times;;;;
1385;i appreciate that they carry various price points in the mid to high range;;;;
1386;overall i wouldn't get my formal wear from here;;;;
1387;that's just me personally;;;;
1388;i'd rather go to the u;;;;
1389;and pay half the price for the same quality;;;;
1390;but if you can't do that they have an excellent selection and great tailors;;;;
1391;you can find cheaper tailors in toronto but at least at gotstyle you don't have to go through the hassle of finding the right tailer;;;;
1392;you can trust the store;;;;
1393;they have an excellent selection of casual clothing and interesting and cool clothing pieces too;;;;
1394;this is definitely a go to place if you're anything like me and don't know how to buy jeans;;;;
1395;my last visit at the store jannette spent a great deal of time educating my friend and i on how to dress;;;;
1396;we left the store uncharacteristically self aware of ourselves but really we learnt a great deal in the process;;;;
1397;their red velvet cupcakes are amazing! their buttercream frosting is fantastic and i also like their brownies when they have them;;;;
1398;the location couldn't be better;;;;
1399;i'd say you couldn't find a more romantic date-spot;;;;
1400;i won't give them 5 stars though since i have had some dry cupcakes in the past and they seem to always run out of the good stuff (mostly the red velvet) on weekends which is the only time i can make it over there;;;;
1401;i so disagree with a couple of the reviews i read;;;;
1402;dr miller is one of the best doctors i've ever seen and i've seen and worked with many as a medical professional;;;;
1403;she is very detailed and shows concern regarding all aspects of my health;;;;
1404;i have referred several people to her;;;;
1405;highly recommended!!!;;;;
1406;my experience went from bad to worse;;;;
1407;this place is filthy and the employees are extremely rude;;;;
1408;i pawned an item and when i went back to pick it up the place we closed;;;;
1409;i went back first thing in the morning to pick up the item;;;;
1410;i was told that the finance charge was double for being a day late;;;;
1411;i love this place;;;;
1412;lots of great healthy options;;;;
1413;excellent variety friendly staff no exorbitant prices;;;;
1414;doesn't beat being held by someone who cares about you but what does? enough melancholy from me;;;;
1415;go forth and eat healthy;;;;
1416;i've received great service and highly recommend stone law;;;;
1417;i've been a client for many years and can attest they do great work!;;;;
1418;they specialize in southern california-style food like burritos salsas and fish tacos;;;;
1419;the decor and ambiance is great;;;;
1420;the tables and bar stools exposed-brick wall modern light fixtures etc;;;;
1421;make for a classy and comfortable dining experience;;;;
1422;i saw a few craft beers and a respectable bourbon list;;;;
1423;however we did an early saturday morning breakfast which was fantastic;;;;
1424;the banana pancakes were unreal;;;;
1425;i normally stop here for breakfast when travelling through calgary international airport;;;;
1426;it is one of the few restaurants available once you pass security;;;;
1427;fare is ok for a decent breakfast and good coffee;;;;
1428;15 dollars for breakfast;;;;
1429;absolute waste of money;;;;
1430;my husband and i felt no different after using the oxygen bar massages and drinking the $5 peppermint drink;;;;
1431;the employee was very sweet but don't waste your money;;;;
1432;this place would get 1 star if the customer service sucked;;;;
1433;and they tell you it's $22 for the oxygen but they also charge $5 for the thing that goes in your nose;;;;
1434;the 5 for 6 'til 7 is so awesome and such a great deal! i wasn't sure the first time we went if we should dress up or if it was okay to wear jeans and a nice top but everyone was either in their business casual work clothes or jeans;;;;
1435;i would recommend getting there a little early because it fills up quickly! we got there at 6pm and by 7pm it was pretty full;;;;
1436;i have recommended this to so many of my co-workers and friends to try out and so far anyone that has gone has come back to me saying what a great time they had and how surprised they were with the 5 for 6 'til 7 deal;;;;
1437;it was my first time here and i was definitely;;;;
1438;impressed;;;;
1439;the groomers work and etiquette was lovely;;;;
1440;i usually need the works when it comes to my little schweenie mix;;;;
1441;) i'm glad i went to her and will most definitely be back!;;;;
1442;the only reason i'm even giving this place 2 stars is because of their food and drinks;;;;
